Candidate;Item;Gender;Inanimate;Target_name_Russian;Target_name_English;dominant_name;number_of_diff_names;number_of_responses;number_of_names_each;Name_agreement_perc;Subjective_visual_complexity_Mean;Subjective_visual_complexity_SD;objective_visual_complexity;Object_familiarity_Mean;Object_familiarity_SD;Age_acquisition_Mean;Age_acquisition_SD;Imageability_Mean;Imageability_SD;Image_agreement_Mean;Image_agreement_SD;Frequency;Syllables;Phonemes
2;579. терка (a grater);ж;неод;терка;a grater;терка;1;100;терка 100;100;2,47;1,13;314;4,74;0,68;2,16;0,66;1,18;0,41;4,8;0,65;1,7;2;5
1;8. антенна (an antenna);ж;неод;антенна;an antenna;антенна;2;100;антенна 99, провода 1;99;2,23;1,14;173;3,68;1,21;2,32;0,75;1,25;0,59;3,89;1,38;8,5;3;6
1;13. арфа (a harp);ж;неод;арфа;a harp;арфа;2;100;арфа 99, нет ответа 1;99;2,93;1,13;546;3,29;1,46;3;0,85;1,57;0,95;4,36;0,97;2,6;2;4
1;196. клавиатура (a keyboard);ж;неод;клавиатура;a keyboard;клавиатура;2;100;клавиатура 99, клава 1;99;3,11;1,06;--;4,82;0,5;3,86;1,15;1,01;0,1;4,17;1,22;4,8;5;10
1;233. конфета (a sweet);ж;неод;конфета;a sweet;конфета;2;100;конфета 99, коровка 1;99;2,52;1,06;298;4,81;0,51;1,12;0,33;1;0;4,61;0,78;19,6;3;7
1;235. копилка (a piggy bank);ж;неод;копилка;a piggy bank;копилка;2;100;копилка 99, свинка 1;99;2,71;0,96;231;3,69;1,32;2,25;0,72;1,28;0,67;4,49;0,89;2,2;3;7
1;244. корона (a crown);ж;неод;корона;a crown;корона;2;100;корона 99, арматура 1;99;3,16;1,18;487;3,31;1,45;1,68;0,53;1,07;0,29;4,17;0,97;9,4;3;6
1;405. пепельница (an ashtray);ж;неод;пепельница;an ashtray;пепельница;2;100;пепельница 99, пробирка 1;99;2,49;0,93;298;3,86;1,25;2,95;1,13;1,2;0,55;4,66;0,58;9,2;4;9
1;417. пила (a saw);ж;неод;пила;a saw;пила;2;100;пила 99, двуручная пила 1;99;1,95;0,99;218;3,78;1,42;1,87;0,66;1,13;0,56;3,93;1,23;9,2;2;4
1;440. подушка (a pillow);ж;неод;подушка;a pillow;подушка;2;100;подушка 99, наволочка 1;99;2,38;1;--;4,9;0,33;1,16;0,39;1,04;0,4;4,33;0,81;39,5;3;7
1;560. стрела (an arrow);ж;неод;стрела;an arrow;стрела;2;100;стрела 99, копье 1;99;2,29;1,18;183;3,47;1,39;1,83;0,68;1,07;0,43;4,84;0,43;20,7;2;6
1;49. булавка (a pin);ж;неод;булавка;a pin;булавка;3;100;булавка 98, англейка 1, игла 1;98;2,36;1,14;115;4,23;1,11;2,1;0,59;1,09;0,35;4,59;1,03;4,9;3;7
1;586. точилка (a pencil sharpener);ж;неод;точилка;a pencil sharpener;точилка;3;100;точилка 98, деталь 1, чинилка 1;98;3,06;1,08;--;4,21;1,06;2,27;0,62;1,16;0,47;4,28;0,94;0;3;7
1;531. скрепка (a paperclip);ж;неод;скрепка;a paperclip;скрепка;3;100;скрепка 97, булавка 2, скрепа 1;97;1,74;1,19;211;4,69;0,63;2,57;0,76;1,13;0,53;4,8;0,57;2,3;2;7
1;261. кровать (a bed);ж;неод;кровать;a bed;кровать;3;100;кровать 96, постель 3, кроватка 1;96;2,8;1,06;437;4,88;0,36;1,24;0,43;1,13;0,37;4,16;1,01;88,4;2;6
1;1. автобус (a bus);м;неод;автобус;a bus;автобус;1;100;автобус 100;100;2,65;1,04;--;4,79;0,54;1,43;0,5;1,07;0,29;4,46;0,89;64,8;3;7
1;32. бинокль (binoculars);м;неод;бинокль;binoculars;бинокль;1;100;бинокль 100;100;3,04;1;414;3,48;1,39;2,32;0,75;1,12;0,38;4,59;0,78;10,6;2;6
1;65. велосипед (1) (a bicycle);м;неод;велосипед;a bicycle;велосипед;1;100;велосипед 100;100;3,55;1,23;429;4,52;0,9;1,66;0,65;1,1;0,41;4,24;1,11;23,1;4;9
1;98. глобус (a globe);м;неод;глобус;a globe;глобус;1;100;глобус 100;100;3,05;1,22;403;4,07;1,13;2,48;0,66;1,12;0,39;4,96;0,2;5,5;2;6
1;176. карандаш (a pencil);м;неод;карандаш;a pencil;карандаш;1;100;карандаш 100;100;1,86;0,76;232;4,71;0,8;1,38;0,51;1;0;4,89;0,37;46,6;3;8
1;228. компас (a compass);м;неод;компас;a compass;компас;1;100;компас 100;100;3,1;1,09;184;3,72;1,28;2,52;0,77;1,2;0,53;4,53;0,76;4,8;2;6
1;250. костыль (a crutch);м;неод;костыль;a crutch;костыль;1;100;костыль 100;100;2,61;0,96;264;3,31;1,43;2,69;0,93;1,27;0,6;4,66;0,77;9,2;2;6
1;319. маяк (a lighthouse);м;неод;маяк;a lighthouse;маяк;1;100;маяк 100;100;2,42;1,05;386;3,21;1,56;2,54;0,82;1,17;0,45;3,9;1,08;8,5;2;5
1;328. микрофон (a microphone);м;неод;микрофон;a microphone;микрофон;1;100;микрофон 100;100;3,25;1,21;315;3,87;1,2;2,65;0,88;1,04;0,24;4,67;0,65;16,3;3;8
1;344. мяч (a ball);м;неод;мяч;a ball;мяч;1;100;мяч 100;100;2,14;1,05;360;4,14;0,97;1,12;0,36;1,01;0,1;3,74;1,29;26,4;1;3
1;356. носок (a sock);м;неод;носок;a sock;носок;1;100;носок 100;100;2,18;1,04;221;4,82;0,52;1,22;0,42;1,08;0,37;4,46;0,88;25,2;2;5
2;465. пылесос (a vacuum cleaner);м;неод;пылесос;a vacuum cleaner;пылесос;1;100;пылесос 100;100;3,23;1,2;388;4,59;0,7;2,03;0,87;1,19;0,53;4,18;1,1;6;3;7
2;476. ремень (a belt);м;неод;ремень;a belt;ремень;1;100;ремень 100;100;2,86;1,05;431;4,53;0,78;1,69;0,6;1,01;0,1;4,48;0,77;28,4;2;5
2;488. рукав (a sleeve);м;неод;рукав;a sleeve;рукав;1;100;рукав 100;100;1,73;0,98;261;4,8;0,51;1,47;0,58;1,3;0,71;4,11;1,04;42,9;2;5
2;501. самовар (a samovar);м;неод;самовар;a samovar;самовар;1;100;самовар 100;100;3,84;0,92;--;3,19;1,45;1,82;0,66;1,07;0,29;4,77;0,51;11,7;3;7
2;502. самокат (a scooter);м;неод;самокат;a scooter;самокат;1;100;самокат 100;100;2,7;1,02;--;3,75;1,27;2,49;0,93;1,16;0,47;4,65;0,76;1;3;7
2;561. стул (a chair);м;неод;стул;a chair;стул;1;100;стул 100;100;2,47;1,16;340;4,91;0,32;1,17;0,51;1,06;0,42;4,61;0,64;87,6;1;4
2;582. топор (an ax);м;неод;топор;an ax;топор;1;100;топор 100;100;2,69;1,16;296;3,73;1,32;1,82;0,59;1,04;0,24;4,86;0,53;25,5;2;5
2;583. торт (a cake);м;неод;торт;a cake;торт;1;100;торт 100;100;2,97;1,27;462;4,58;0,75;1,4;0,55;1,07;0,36;3,82;1,09;11,6;1;4
2;613. утюг (an iron);м;неод;утюг;an iron;утюг;1;100;утюг 100;100;3,14;1,25;291;4,6;0,8;1,68;0,7;1,06;0,34;4,39;0,85;8,7;2;4
2;633. халат (a bathrobe);м;неод;халат;a bathrobe ;халат;1;100;халат 100;100;2,52;0,99;599;4,45;0,89;1,68;0,62;1,07;0,29;4,01;1,13;36,1;2;5
2;693. якорь (an anchor);м;неод;якорь;an anchor;якорь;1;100;якорь 100;100;2,63;1,07;241;2,69;1,45;2,2;0,7;1,07;0,3;4,51;0,85;25,9;2;5
1;7. ананас (a pineapple);м;неод;ананас;a pineapple;ананас;2;100;ананас 99, кокос 1;99;2,89;1,14;388;4,25;0,95;2,51;0,9;1,08;0,37;4,73;0,58;3,6;3;6
1;64. веер (a fan);м;неод;веер;a fan;веер;2;100;веер 99, нет ответа 1;99;2,73;1,21;527;3,82;1,32;2,28;0,6;1,12;0,48;4,48;0,87;6,6;2;5
1;71. вертолет (a helicopter);м;неод;вертолет;a helicopter;вертолет;2;100;вертолет 99, вертолетик 1;99;3,27;1,26;333;3,55;1,36;2,01;0,69;1,15;0,41;3,93;1,09;38,7;3;8
1;82. водопад (a waterfall);м;неод;водопад;a waterfall;водопад;2;100;водопад 99, водопады 1;99;3,55;1,13;--;3,27;1,2;2,46;0,73;1,16;0,42;4,28;0,88;7,3;3;7
1;105. гранат (a pomegranate);м;неод;гранат;a pomegranate;гранат;2;100;гранат 99, инжир 1;99;3,76;1,22;--;4,15;1,1;2,34;0,78;1,16;0,56;4,5;0,78;2,5;2;6
1;220. колодец (a well);м;неод;колодец;a well;колодец;2;100;колодец 99, колодезь 1;99;3,5;1,28;452;3,69;1,38;1,85;0,64;1,24;0,62;4,24;1,06;23,9;3;7
1;221. колокол (a bell);м;неод;колокол;a bell;колокол;2;100;колокол 99, колокольчик 1;99;3,4;1,1;409;3,44;1,39;2,13;0,82;1,12;0,41;4,11;1,1;15,8;3;7
1;327. микроскоп (a microscope);м;неод;микроскоп;a microscope;микроскоп;2;100;микроскоп 99, объект 1;99;3,42;1,16;326;3,69;1,35;3,03;0,77;1,24;0,54;4,76;0,53;6;3;9
1;333. молоток (a hammer);м;неод;молоток;a hammer;молоток;2;100;молоток 99, топор 1;99;2,77;1,29;295;4,28;1;1,62;0,57;1,04;0,24;4,68;0,58;12,4;3;7
1;503. самолет (an airplane);м;неод;самолет;an airplane;самолет;2;100;самолет 99, суперджет 1;99;2,91;1;--;4,34;1;1,45;0,63;1,05;0,26;4,36;0,95;166,1;3;7
1;507. сачок (a butterfly net);м;неод;сачок;a butterfly net;сачок;2;100;сачок 99, садок 1;99;2,92;0,99;--;2,93;1,36;2,03;0,76;1,25;0,64;4,73;0,7;2,7;2;5
1;511. свисток (1) (a whistle);м;неод;свисток;a whistle;свисток;2;100;свисток 99, фен 1;99;2,97;1,06;153;3,32;1,4;1,95;0,63;1,11;0,35;4,65;0,74;5;2;7
1;564. сыр (cheese);м;неод;сыр;cheese;сыр;2;100;сыр 99, ломоть сыра 1;99;2,74;1,08;333;4,74;0,65;1,52;0,66;1,1;0,46;4,35;0,89;19,5;1;3
1;569. танк (a tank);м;неод;танк;a tank;танк;2;100;танк 99, бронетехника 1;99;3,49;1,26;515;3,37;1,37;1,91;0,57;1,24;0,67;4,37;0,9;52,6;1;4
1;627. фонтан (a fountain);м;неод;фонтан;a fountain;фонтан;2;100;фонтан 99, нет ответа 1;99;3,47;1,29;506;4,16;1,05;1,99;0,61;1,16;0,47;4,18;1,01;18,4;2;6
1;680. шприц (a syringe);м;неод;шприц;a syringe;шприц;2;100;шприц 99, баян 1;99;2,32;1,08;116;4,02;1,18;2,06;0,69;1,12;0,41;4,68;0,62;7,8;1;5
1;508. светофор (a traffic light);м;неод;светофор;a traffic light;светофор;2;100;светофор 98, семафор 2;98;2,71;1,07;303;4,78;0,64;1,72;0,57;1,01;0,1;4,55;0,75;8;3;8
1;338. мотоцикл (a motor-cycle);м;неод;мотоцикл;a motor-cycle ;мотоцикл;3;100;мотоцикл 98, мопед 1, мотороллер 1;98;4,14;1,14;459;3,66;1,33;2,05;0,7;1,24;0,66;4,07;1,08;18,4;3;8
1;351. нож (a knife);м;неод;нож;a knife;нож;3;100;нож 98, ножик 1, нет ответа 1;98;1,91;1,08;219;4,79;0,61;1,31;0,56;1,02;0,14;4,84;0,47;66,6;1;3
1;626. фонарь (a lantern);м;неод;фонарь;a lantern ;фонарь;3;100;фонарь 98, ретро-фонарь 1, светильник 1;98;2,89;1,03;274;4,4;0,81;1,85;0,75;1,18;0,63;3,33;1,54;32,9;2;5
;201. клубок (2) (a clew);;;клубок;a clew;клубок;8;100;клубок 52, спицы 24, вязание 10, нитки 6, пряжа 5, иголки 1, моток 1, набор 1;52;2,54;0,9;--;3,31;1,42;1,76;0,67;1,03;0,17;4,45;0,77;6,8;2;6
2;200. клубок (1) (a clew);разные;неод;клубок;a clew;клубок;4;100;клубок 95, нитки 3, лубок 1, моток 1;95;2,82;1,27;383;3,96;1,34;1,76;0,73;1,04;0,24;4,81;0,59;6,8;2;6
1;638. холодильник (a refrigerator);м;неод;холодильник;a refrigerator;холодильник;3;100;холодильник 98, зил 1, рефрежиратор 1;98;2,4;1,08;355;4,91;0,32;1,49;0,52;1,05;0,22;3,99;1,11;29,1;4;10
1;252. костюм (a costume);м;неод;костюм;a costume;костюм;4;100;костюм 97, костюм мужской 1, костюм-двойка 1, смокинг 1;97;2,47;0,98;--;4,38;0,96;2,08;0,53;1,26;0,56;4,27;1,33;81,3;2;6
1;326. мешок (a sack);м;неод;мешок;a sack ;мешок;4;100;мешок 97,  завязанный мешок 1, стог 1, нет ответа 1;97;2,05;0,98;298;3,51;1,41;1,68;0,69;1,13;0,37;4,34;0,95;61,1;2;5
1;368. одуванчик (a dandelion);м;неод;одуванчик;a dandelion;одуванчик;4;100;одуванчик 97, одуван 1, растение одуванчик в пору зрелости 1, цветок 1;97;3,43;1,25;250;4,47;0,93;1,44;0,64;1,11;0,49;4,14;1,2;4,5;4;9
