trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,AL,L1,sound_path,AFC1,AFC2,AFC3,AFC1_color,AFC2_color,AFC3_color,recognition_text,recognition_correctness,recall_AL,recall_L1,SEM_AL,variant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp.keys,key_resp.rt,recall_rt,recall_text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,rows,key_resp_10.keys,key_resp_10.rt,key_resp_3.keys,key_resp_3.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,recall_test_rt,recall_test_text,key_resp_4.keys,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran
,,,,,dinrase,домино,dinrase.wav,домино,стрела,колокол,green,black,black,dinrase = копилка?,0,devinde,мельница,lornitu,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,0,27,27,27,1,,,,,,,,
,,,,,pakanu,пистолет,pakanu.wav,пистолет,микрофон,одуванчик,green,black,black,pakanu = пистолет?,1,panabu,гвоздь,akastu,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,"[""g"",""v"",""o"",""z"",""d""]",0,28,28,28,1,"[4.364000000059605,4.986505000037141,5.380795000004582,5.881874999962747,6.517905000015162]",,,,,,,
,,,,,sevade,коридор,sevade.wav,коридор,удочка,роза,green,black,black,sevade = роза?,0,feranu,ремень,pentave,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,"[""e"",""f"",""e"",""r"",""e""]",0,29,29,29,1,"[4.9491449999623,5.891775000025518,6.16003999998793,6.353084999951534,6.470669999951497]",,,,,,,
,,,,,renape,пальма,renape.wav,пальма,свисток,шприц,green,black,black,renape = пальма?,1,pakanu,пистолет,panabu,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,"[""p"",""i"",""k"",""a"",""b"",""u""]",0,30,30,30,1,"[1.8316150000318885,2.0428349999710917,2.2688449999550357,2.4647050000494346,3.2747700000181794,3.4490549999754876]",,,,,,,
,,,,,feranu,ремень,feranu.wav,шашлык,маяк,ремень,black,black,green,feranu = ремень?,1,pentave,колбаса,enkalu,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,"[""p"",""i"",""k"",""a"",""b"",""u""]",0,31,31,31,1,"[2.744704999960959,2.841474999906495,3.874044999945909,4.052279999945313,4.344329999992624,4.675579999922775]",,,,,,,
,,,,,tevone,стол,tevone.wav,намордник,стол,компас,black,green,black,tevone = мельница?,0,senkide,самолет,renape,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,"[""s"",""a"",""n"",""t"",""i""]",0,32,32,32,1,"[2.1527149999747053,2.7104299999773502,3.4111900000134483,6.706310000037774,6.867005000007339]",,,,,,,
,,,,,sulvidu,утюг,sulvidu.wav,аквариум,стрела,утюг,black,black,green,sulvidu = коридор?,0,tevone,стол,senkide,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,0,33,33,33,1,,,,,,,,
,,,,,trokele,наперсток,trokele.wav,наперсток,коридор,маяк,green,black,black,trokele = стрела?,0,nukene,одуванчик,ovarde,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,"[""o"",""d"",""u"",""v"",""a"",""n""]",0,34,34,34,1,"[4.554905000026338,4.6853949999203905,4.8022600000258535,5.876384999952279,5.970459999982268,6.266330000013113]",,,,,,,
,,,,,senkide,самолет,senkide.wav,самолет,конверт,наперсток,green,black,black,senkide = кроссворд?,0,renape,пальма,pakanu,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,"[""p"",""a"",""l"",""m"",""a""]",0,35,35,35,1,"[2.087195000029169,2.5323099999222904,2.6890199999324977,3.366304999915883,3.499324999982491]",,,,,,,
,,,,,vembare,костюм,vembare.wav,костюм,маяк,гранат,green,black,black,vembare = костюм?,1,kaltane,роза,pikide,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,"[""r"",""o"",""x"",""z"",""a"",""a"",""a"",""a"",""w"",""d"",""w"",""o"",""i"",""d"",""m""]",0,36,36,36,1,"[2.2255700000096112,2.315709999995306,2.999764999956824,3.2846750000026077,3.649154999991879,3.850709999911487,4.011309999972582,4.241244999924675,4.33289999992121,4.368464999948628,4.527294999919832,4.65750999993179,4.709745000000112,4.879089999943972,4.886979999952018]",,,,,,,
,,,,,nukene,одуванчик,nukene.wav,компас,одуванчик,гвоздь,black,green,black,nukene = одуванчик?,1,ovarde,конверт,erfate,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,0,37,37,37,1,,,,,,,,
,,,,,kaltane,роза,kaltane.wav,мельница,роза,коридор,black,green,black,kaltane = качели?,0,pikide,качели,dinrase,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,0,38,38,38,1,,,,,,,,
,,,,,aderu,маяк,aderu.wav,маяк,наперсток,клубок,green,black,black,aderu = ведро?,0,larantu,компас,enveku,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,0,39,39,39,1,,,,,,,,
,,,,,kanvidu,аквариум,kanvidu.wav,свисток,аквариум,конверт,black,green,black,kanvidu = аквариум?,1,abadu,кроссворд,kanvidu,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.7928,0,0,0,0,1
,,,,,larantu,компас,larantu.wav,компас,клубок,костыль,green,black,black,larantu = утюг?,0,enveku,микрофон,madide,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.85055,0,1,1,1,1
,,,,,enkontu,мяч,enkontu.wav,терка,гранат,мяч,black,black,green,enkontu = мяч?,1,maviru,костыль,invaltu,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.10991,0,2,2,2,1
,,,,,venkere,ведро,venkere.wav,ведро,костюм,костыль,green,black,black,venkere = терка?,0,aderu,маяк,larantu,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.18802,0,3,3,3,1
