trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,AL,L1,sound_path,AFC1,AFC2,AFC3,AFC1_color,AFC2_color,AFC3_color,recognition_text,recognition_correctness,recall_AL,recall_L1,SEM_AL,variant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp.keys,key_resp.rt,recall_rt,recall_text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,rows,key_resp_10.keys,key_resp_10.rt,key_resp_3.keys,key_resp_3.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,recall_test_rt,recall_test_text,key_resp_4.keys,key_resp_4.rt,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,key_resp_5.keys,key_resp_5.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran
,,,,,senkide,мяч,senkide.wav,мяч,гранат,терка,green,black,black,senkide = стол?,0,maviru,ремень,pentave,3,2020-05-13_13h51.47.770,words,2020.1.2,Win32,60,,,,,,,,"[""c"",""i"",""k"",""i"",""d"",""e"",""return""]","[1.8980700001120567,2.3338150000199676,2.6418300000950694,3.991179999895394,4.2114599999040365,4.3168649999424815,4.840709999902174]",4.84071,cikide,0,5,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,akastu,ведро,akastu.wav,костыль,костюм,ведро,black,black,green,akastu = ведро?,1,aderu,пистолет,panabu,3,2020-05-13_13h51.47.770,words,2020.1.2,Win32,60,,,,,,,,"[""space"",""return""]","[3.227845000103116,3.4822949999943376]",3.482295, ,0,6,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,takuru,маяк,takuru.wav,наперсток,маяк,клубок,black,green,black,takuru = маяк?,1,larantu,веер,adiste,3,2020-05-13_13h51.47.770,words,2020.1.2,Win32,60,,,,,,,,"[""n"",""a"",""backspace"",""backspace"",""m"",""a"",""k"",""u"",""l"",""e"",""d"",""return""]","[2.526205000001937,2.7757800000254065,3.9147200000006706,4.031895000021905,4.3941999999806285,4.627250000135973,5.079110000049695,5.363890000153333,5.681285000173375,5.932220000075176,6.1325950000900775,6.772880000062287]",6.77288,makuled,0,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,pakanu,мельница,pakanu.wav,мельница,аквариум,ремень,green,black,black,pakanu = мельница?,1,lornitu,микрофон,madide,3,2020-05-13_13h51.47.770,words,2020.1.2,Win32,60,,,,,,,,"[""p"",""a"",""k"",""u"",""d"",""u"",""return""]","[1.9836649999488145,2.218509999802336,2.5024499997962266,2.977879999903962,4.44469999987632,4.677489999914542,5.384799999883398]",5.3848,pakudu,0,8,8,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,beskadu,колбаса,beskadu.wav,качели,хобот,колбаса,black,black,green,beskadu = колбаса?,1,enkalu,пальма,pakanu,3,2020-05-13_13h51.47.770,words,2020.1.2,Win32,60,,,,,,,,"[""s"",""i"",""n"",""i"",""k"",""e"",""return""]","[3.6625399999320507,3.9289049999788404,4.3275849998462945,5.254740000003949,5.51090499991551,5.710904999868944,6.118614999810234]",6.118615,sinike,0,9,9,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,3,2020-05-13_13h51.47.770,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,0,0,0,0,1,0:10,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,1,renape,кроссворд,renape.wav,кроссворд,гвоздь,мельница,green,black,black,renape = кроссворд?,1,kanvidu,клубок,enkade,3,2020-05-13_13h51.47.770,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,ovarde,коридор,ovarde.wav,роза,коридор,удочка,black,green,black,ovarde = коридор?,1,feranu,наперсток,nukene,3,2020-05-13_13h51.47.770,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,nukene,колокол,nukene.wav,микрофон,колокол,веер,black,green,black,nukene = копилка?,0,enkontu,гранат,beskadu,3,2020-05-13_13h51.47.770,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,3,3,1,tivere,конверт,tivere.wav,мяч,компас,конверт,black,black,green,tivere = костыль?,0,erfate,самолет,renape,3,2020-05-13_13h51.47.770,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,4,4,1,sevade,утюг,sevade.wav,утюг,стрела,аквариум,green,black,black,sevade = утюг?,1,tevone,копилка,favatu,3,2020-05-13_13h51.47.770,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5,5,5,1,enkade,точилка,enkade.wav,шашлык,свисток,точилка,black,black,green,enkade = точилка?,1,takuru,маяк,larantu,3,2020-05-13_13h51.47.770,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,6,6,6,1,adiste,костюм,adiste.wav,маяк,гранат,костюм,black,black,green,adiste = хобот?,0,kaltane,стрела,sevade,3,2020-05-13_13h51.47.770,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,7,7,1,madide,домино,madide.wav,стрела,колокол,домино,black,black,green,madide = флаг?,0,devinde,стол,senkide,3,2020-05-13_13h51.47.770,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,renape,кроссворд,renape.wav,кроссворд,гвоздь,мельница,green,black,black,renape = кроссворд?,1,kanvidu,клубок,enkade,3,2020-05-13_13h51.47.770,words,2020.1.2,Win32,60,left,2.023485,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ovarde,коридор,ovarde.wav,роза,коридор,удочка,black,green,black,ovarde = коридор?,1,feranu,наперсток,nukene,3,2020-05-13_13h51.47.770,words,2020.1.2,Win32,60,down,1.31737,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,nukene,колокол,nukene.wav,микрофон,колокол,веер,black,green,black,nukene = копилка?,0,enkontu,гранат,beskadu,3,2020-05-13_13h51.47.770,words,2020.1.2,Win32,60,down,1.94485,0,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,tivere,конверт,tivere.wav,мяч,компас,конверт,black,black,green,tivere = костыль?,0,erfate,самолет,renape,3,2020-05-13_13h51.47.770,words,2020.1.2,Win32,60,right,2.055045,0,3,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
